Product Name,Price,Ratings,import time
"FUJIFILM X Series X-T4 Mirrorless Camera Body Only
            
            (Silver)",138499,4.4,2023-11-30
"FUJIFILM X Series X-T4 Mirrorless Camera Body Only
            
            (Silver)",138499,4.4,2023-11-30
